scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,199.676025390625,219.3116455078125,1.0,197.4491424560547,254.0799102783203,1.0,170.80807495117188,233.89923095703125,1.0,154.1845245361328,228.45663452148438,1.0,222.51666259765625,239.29690551757812,1.0,236.06619262695312,236.7669219970703,1.0,196.0283660888672,275.568115234375,1.0,158.23814392089844,280.8232116699219,1.0,222.12228393554688,286.7330627441406,1.0
1,199.5594024658203,219.36798095703125,1.0,197.22467041015625,254.12681579589844,1.0,170.77670288085938,234.27139282226562,1.0,154.07821655273438,228.54986572265625,1.0,222.3611297607422,239.24851989746094,1.0,236.08119201660156,236.52891540527344,1.0,195.8618621826172,275.81536865234375,1.0,158.3407440185547,281.0628356933594,1.0,222.25894165039062,286.623046875,1.0
2,199.43751525878906,219.45059204101562,1.0,197.29591369628906,254.17149353027344,1.0,170.662353515625,234.2509002685547,1.0,153.99594116210938,228.52928161621094,1.0,222.3618621826172,238.92372131347656,1.0,235.91262817382812,236.5491943359375,1.0,195.97451782226562,275.81329345703125,1.0,158.2017822265625,281.04730224609375,1.0,222.04348754882812,286.6581115722656,1.0
3,199.39671325683594,219.43704223632812,1.0,197.16091918945312,254.01190185546875,1.0,170.70330810546875,234.05380249023438,1.0,154.04287719726562,228.55398559570312,1.0,222.33111572265625,239.0704345703125,1.0,235.93141174316406,236.58596801757812,1.0,195.86611938476562,275.75311279296875,1.0,158.17437744140625,281.1591491699219,1.0,222.15345764160156,286.5575866699219,1.0
4,199.4182891845703,219.3526611328125,1.0,197.11648559570312,253.9535369873047,1.0,170.731201171875,234.4606475830078,1.0,154.05328369140625,228.63221740722656,1.0,222.375244140625,239.03273010253906,1.0,235.8953399658203,236.71865844726562,1.0,195.9342041015625,275.7151794433594,1.0,158.17213439941406,281.2019958496094,1.0,222.14381408691406,286.5180358886719,1.0
5,199.38150024414062,219.34011840820312,1.0,197.0816650390625,253.85665893554688,1.0,170.66302490234375,234.38299560546875,1.0,154.1003875732422,228.56195068359375,1.0,222.35617065429688,238.7407684326172,1.0,235.87869262695312,236.60569763183594,1.0,195.91378784179688,275.5733947753906,1.0,158.2349853515625,281.0414733886719,1.0,222.14883422851562,286.54046630859375,1.0
6,199.3433074951172,219.25938415527344,1.0,196.94093322753906,253.82186889648438,1.0,170.71705627441406,234.3307647705078,1.0,153.3839569091797,228.04376220703125,1.0,222.18048095703125,238.75900268554688,1.0,235.76710510253906,236.5790252685547,1.0,195.71971130371094,275.4866943359375,1.0,158.22900390625,281.08343505859375,1.0,221.98861694335938,286.669921875,1.0
7,199.06787109375,218.9403533935547,1.0,196.66220092773438,253.9500732421875,1.0,170.10028076171875,233.71475219726562,1.0,153.2804412841797,228.3622589111328,1.0,221.47496032714844,238.2058563232422,1.0,235.39378356933594,236.41104125976562,1.0,195.50221252441406,275.3858947753906,1.0,158.10775756835938,281.176513671875,1.0,222.32244873046875,286.30145263671875,1.0
8,198.1043701171875,217.79269409179688,1.0,197.0833282470703,254.30226135253906,1.0,168.8677978515625,232.98963928222656,1.0,152.02395629882812,228.22885131835938,1.0,219.3842315673828,237.1733856201172,1.0,234.9052276611328,235.42730712890625,1.0,195.2721710205078,276.0330810546875,1.0,157.75833129882812,281.34722900390625,1.0,221.80279541015625,286.2493591308594,1.0
9,197.49349975585938,217.1993865966797,1.0,196.60903930664062,254.00833129882812,1.0,168.43934631347656,232.88136291503906,1.0,152.14234924316406,228.49293518066406,1.0,218.9295654296875,236.9581756591797,1.0,234.52369689941406,234.61660766601562,1.0,193.6380615234375,276.00067138671875,1.0,157.47994995117188,281.85101318359375,1.0,221.09536743164062,286.2881164550781,1.0
10,197.2900390625,216.88929748535156,1.0,196.23512268066406,253.90725708007812,1.0,168.1643524169922,232.77401733398438,1.0,151.71160888671875,228.4207305908203,1.0,218.7811737060547,236.93374633789062,1.0,234.0650634765625,234.13650512695312,1.0,193.27040100097656,275.88641357421875,1.0,157.35227966308594,281.6075744628906,1.0,220.77639770507812,286.3635559082031,1.0
