scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,195.9895782470703,208.8288116455078,1.0,200.38702392578125,236.70999145507812,1.0,161.48439025878906,224.67947387695312,1.0,145.53140258789062,221.315673828125,1.0,217.27703857421875,226.33282470703125,1.0,232.309814453125,229.2947998046875,1.0,199.73818969726562,255.45111083984375,1.0,162.24388122558594,271.3712463378906,1.0,224.48593139648438,276.1240539550781,1.0
1,195.6993865966797,209.0672607421875,1.0,200.50076293945312,236.0606689453125,1.0,160.97048950195312,224.8079376220703,1.0,145.08016967773438,221.06785583496094,1.0,217.13262939453125,226.15365600585938,1.0,232.10794067382812,228.9488983154297,1.0,199.7622528076172,254.83218383789062,1.0,162.09877014160156,271.249755859375,1.0,224.14224243164062,275.7982177734375,1.0
2,195.4008026123047,208.8345489501953,1.0,200.29856872558594,235.8646697998047,1.0,160.58860778808594,224.6806182861328,1.0,144.45401000976562,221.5826416015625,1.0,216.7911376953125,226.12554931640625,1.0,231.97946166992188,228.7686767578125,1.0,199.36534118652344,254.6046600341797,1.0,161.96087646484375,270.7126770019531,1.0,223.6805419921875,275.82110595703125,1.0
3,194.95579528808594,208.3182373046875,1.0,199.87789916992188,235.77450561523438,1.0,160.7151336669922,224.7620849609375,1.0,144.61264038085938,221.3896026611328,1.0,216.4688720703125,226.00001525878906,1.0,231.85438537597656,228.2538299560547,1.0,198.96095275878906,254.518798828125,1.0,161.72265625,270.67041015625,1.0,223.3814239501953,275.3746032714844,1.0
4,194.72718811035156,208.13160705566406,1.0,199.5640106201172,235.49325561523438,1.0,160.46340942382812,224.53964233398438,1.0,144.39894104003906,221.19522094726562,1.0,216.09805297851562,225.86399841308594,1.0,231.6548614501953,228.3041229248047,1.0,198.7366943359375,253.88388061523438,1.0,161.57516479492188,270.1734619140625,1.0,222.73997497558594,274.7913818359375,1.0
5,194.4709014892578,208.1614990234375,1.0,199.04727172851562,235.24649047851562,1.0,160.2462158203125,224.29867553710938,1.0,144.38897705078125,221.0066375732422,1.0,215.9906768798828,225.83279418945312,1.0,231.6234130859375,228.1504669189453,1.0,198.419677734375,253.7540283203125,1.0,161.35775756835938,269.88232421875,1.0,222.1842498779297,274.7705383300781,1.0
6,193.6204376220703,208.08753967285156,1.0,198.64276123046875,234.8497772216797,1.0,159.7797393798828,223.9684295654297,1.0,144.09532165527344,220.9129638671875,1.0,215.487060546875,225.7213134765625,1.0,230.9800567626953,227.8424530029297,1.0,198.25067138671875,253.45530700683594,1.0,161.165771484375,269.7847595214844,1.0,222.0950469970703,274.36859130859375,1.0
7,193.3330078125,207.4635467529297,1.0,198.08209228515625,234.5906982421875,1.0,159.6463165283203,223.78916931152344,1.0,143.62254333496094,220.70285034179688,1.0,214.8241424560547,225.29627990722656,1.0,230.07156372070312,227.35545349121094,1.0,197.52328491210938,252.88629150390625,1.0,160.10162353515625,269.6744079589844,1.0,221.6203155517578,274.3670654296875,1.0
8,192.6245574951172,207.67303466796875,1.0,196.57949829101562,234.24130249023438,1.0,159.1461944580078,224.29232788085938,1.0,143.37339782714844,220.77662658691406,1.0,213.70274353027344,225.1574249267578,1.0,229.17660522460938,226.8784942626953,1.0,196.1962127685547,252.82925415039062,1.0,159.09219360351562,269.9411926269531,1.0,221.14024353027344,274.26580810546875,1.0
9,189.0651397705078,207.73837280273438,1.0,193.4142608642578,233.98155212402344,1.0,156.75946044921875,224.56695556640625,1.0,140.9063262939453,220.7073516845703,1.0,211.29934692382812,225.07833862304688,1.0,227.67550659179688,226.5142364501953,1.0,192.09304809570312,252.75941467285156,1.0,156.8943328857422,270.57196044921875,1.0,219.27777099609375,273.5589599609375,1.0
10,185.9027099609375,208.20094299316406,1.0,188.84498596191406,233.89559936523438,1.0,154.47364807128906,224.98233032226562,1.0,138.0960235595703,221.15203857421875,1.0,208.9837188720703,224.98777770996094,1.0,225.2088165283203,225.18260192871094,1.0,188.61094665527344,253.0653076171875,1.0,153.86492919921875,269.1926574707031,1.0,216.14610290527344,274.11724853515625,1.0
