scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,181.3710174560547,205.09527587890625,1.0,167.97068786621094,230.11642456054688,1.0,156.73638916015625,218.73863220214844,1.0,145.05345153808594,217.18527221679688,1.0,204.62901306152344,227.69021606445312,1.0,220.30953979492188,229.01608276367188,1.0,163.73756408691406,249.96597290039062,1.0,136.81600952148438,258.0782165527344,1.0,196.7552947998047,270.3036193847656,1.0
1,177.04086303710938,204.37648010253906,1.0,163.49586486816406,227.6312255859375,1.0,154.6671142578125,218.51251220703125,1.0,143.99746704101562,217.08389282226562,1.0,201.07200622558594,225.09707641601562,1.0,217.67283630371094,226.88218688964844,1.0,159.4667205810547,246.53909301757812,1.0,134.21693420410156,255.90017700195312,1.0,192.66954040527344,267.19696044921875,1.0
2,176.09408569335938,203.93838500976562,1.0,161.77061462402344,226.73446655273438,1.0,154.17938232421875,218.054931640625,1.0,143.3853302001953,217.65379333496094,1.0,199.8882598876953,224.54124450683594,1.0,217.03199768066406,226.2091064453125,1.0,158.12493896484375,245.45721435546875,1.0,133.6536865234375,255.87173461914062,1.0,191.430908203125,266.8092956542969,1.0
3,174.1205596923828,204.3311767578125,1.0,161.12205505371094,226.92987060546875,1.0,153.0637969970703,218.30320739746094,1.0,142.12710571289062,217.8188934326172,1.0,198.22828674316406,224.28317260742188,1.0,215.52548217773438,225.9925994873047,1.0,155.29087829589844,245.86705017089844,1.0,131.92958068847656,255.6540069580078,1.0,190.1644287109375,266.8168640136719,1.0
4,169.1177520751953,204.7902374267578,1.0,154.8150177001953,227.02932739257812,1.0,149.5272216796875,219.0572052001953,1.0,139.0496826171875,218.57177734375,1.0,193.7925567626953,223.9269561767578,1.0,210.9597625732422,225.23675537109375,1.0,149.84767150878906,245.73440551757812,1.0,127.95265197753906,256.5919189453125,1.0,185.80007934570312,265.3183898925781,1.0
5,166.8186492919922,204.88438415527344,1.0,152.9759063720703,226.79656982421875,1.0,147.58123779296875,219.83120727539062,1.0,137.2532958984375,219.7026824951172,1.0,191.828369140625,223.51905822753906,1.0,208.9984893798828,225.52444458007812,1.0,147.6630401611328,246.69761657714844,1.0,126.70838165283203,257.0981140136719,1.0,183.52529907226562,265.515869140625,1.0
6,166.5806427001953,205.13455200195312,1.0,153.16226196289062,227.3934326171875,1.0,147.0070037841797,220.20506286621094,1.0,137.0409393310547,220.1903076171875,1.0,191.81175231933594,223.883544921875,1.0,208.76846313476562,225.77975463867188,1.0,147.62159729003906,246.50833129882812,1.0,126.54573059082031,257.16064453125,1.0,183.19171142578125,265.7120666503906,1.0
7,166.55795288085938,205.0033721923828,1.0,153.08885192871094,227.4166259765625,1.0,147.0847930908203,219.99639892578125,1.0,137.0023956298828,220.06011962890625,1.0,191.86427307128906,223.69668579101562,1.0,208.66319274902344,225.97198486328125,1.0,147.34332275390625,246.59178161621094,1.0,126.55874633789062,257.5364990234375,1.0,182.75030517578125,265.7662048339844,1.0
8,166.0644989013672,205.22866821289062,1.0,153.29513549804688,227.6143035888672,1.0,147.13076782226562,219.9199981689453,1.0,137.44369506835938,220.18673706054688,1.0,191.6432342529297,223.65512084960938,1.0,208.6031951904297,226.068603515625,1.0,147.10647583007812,246.46188354492188,1.0,126.18924713134766,256.9393005371094,1.0,182.28057861328125,265.8064880371094,1.0
9,165.65765380859375,204.7875213623047,1.0,152.0124969482422,225.72325134277344,1.0,146.94793701171875,219.20570373535156,1.0,138.4638671875,219.4481658935547,1.0,189.87362670898438,222.23336791992188,1.0,208.05081176757812,224.68634033203125,1.0,145.4587860107422,245.5608673095703,1.0,124.59843444824219,254.69056701660156,1.0,180.06982421875,264.4523620605469,1.0
10,163.99191284179688,202.6051483154297,1.0,149.72793579101562,223.82791137695312,1.0,145.754638671875,218.0002899169922,1.0,136.8809051513672,217.3459014892578,1.0,188.93067932128906,220.44508361816406,1.0,206.9907684326172,222.8152618408203,1.0,143.4505615234375,242.61256408691406,1.0,123.84822845458984,252.72572326660156,1.0,178.32562255859375,262.9654235839844,1.0
