scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,177.02346801757812,211.3225555419922,1.0,180.7716827392578,231.2837677001953,1.0,148.8433837890625,230.97439575195312,1.0,135.08619689941406,231.89320373535156,1.0,198.43130493164062,228.46560668945312,1.0,209.5250701904297,231.14010620117188,1.0,183.361083984375,254.4204864501953,1.0,150.38140869140625,275.4527282714844,1.0,208.62391662597656,269.9744873046875,1.0
1,177.55868530273438,211.3284912109375,1.0,181.3890380859375,231.42828369140625,1.0,148.93899536132812,230.86154174804688,1.0,135.18699645996094,232.1240692138672,1.0,198.5443115234375,228.5408477783203,1.0,209.64718627929688,231.10107421875,1.0,183.81407165527344,254.66017150878906,1.0,150.70535278320312,275.5315856933594,1.0,208.79486083984375,270.3569641113281,1.0
2,177.48046875,211.29019165039062,1.0,181.34918212890625,231.4202117919922,1.0,148.97377014160156,230.94561767578125,1.0,135.2098846435547,232.07565307617188,1.0,198.399169921875,228.4471435546875,1.0,209.478515625,231.06790161132812,1.0,183.7180633544922,254.73504638671875,1.0,150.7131805419922,275.6600036621094,1.0,208.8167266845703,270.2872314453125,1.0
3,177.3209228515625,211.30206298828125,1.0,181.2931365966797,231.4780731201172,1.0,148.912841796875,231.03492736816406,1.0,135.13641357421875,232.10101318359375,1.0,198.2869415283203,228.41458129882812,1.0,209.40231323242188,230.9619598388672,1.0,183.7360076904297,254.55616760253906,1.0,150.7866668701172,275.6614685058594,1.0,208.82298278808594,270.1954650878906,1.0
4,177.38388061523438,211.3368377685547,1.0,181.2517547607422,231.52392578125,1.0,148.79554748535156,231.05897521972656,1.0,135.0904998779297,232.0752716064453,1.0,198.20567321777344,228.4809112548828,1.0,209.35125732421875,230.9779510498047,1.0,183.72259521484375,254.68714904785156,1.0,150.7306671142578,275.7338562011719,1.0,208.83062744140625,270.3388977050781,1.0
5,177.3153839111328,211.45579528808594,1.0,181.27294921875,231.5202178955078,1.0,148.67037963867188,231.1822052001953,1.0,134.84071350097656,232.2647705078125,1.0,198.09852600097656,228.45933532714844,1.0,209.234130859375,231.0672607421875,1.0,183.74887084960938,254.4853515625,1.0,150.771240234375,275.8286437988281,1.0,208.82330322265625,270.3254699707031,1.0
6,177.34925842285156,211.35374450683594,1.0,181.21424865722656,231.4772491455078,1.0,148.8284912109375,231.1429443359375,1.0,134.80104064941406,232.09646606445312,1.0,198.11305236816406,228.489013671875,1.0,209.2498321533203,231.08811950683594,1.0,183.6517791748047,254.55372619628906,1.0,150.59193420410156,275.6410827636719,1.0,208.8269500732422,270.1329040527344,1.0
7,177.23226928710938,211.44314575195312,1.0,181.27711486816406,231.4224853515625,1.0,148.5779266357422,231.3435821533203,1.0,134.8612823486328,232.18809509277344,1.0,197.921142578125,228.38494873046875,1.0,209.1688690185547,231.1236114501953,1.0,183.70770263671875,254.5430450439453,1.0,150.6128692626953,275.77642822265625,1.0,208.86520385742188,270.07757568359375,1.0
8,177.42686462402344,212.27163696289062,1.0,180.6548309326172,231.69393920898438,1.0,148.82040405273438,232.3832550048828,1.0,134.64234924316406,232.30752563476562,1.0,197.8650665283203,229.8274688720703,1.0,208.94349670410156,231.58067321777344,1.0,183.7239990234375,254.3465118408203,1.0,150.04476928710938,275.75506591796875,1.0,208.79493713378906,270.2715148925781,1.0
9,176.6608428955078,212.95181274414062,1.0,179.92303466796875,233.10902404785156,1.0,148.0864715576172,233.41868591308594,1.0,134.69171142578125,234.0193328857422,1.0,197.54981994628906,230.92626953125,1.0,208.4181365966797,231.837646484375,1.0,183.15347290039062,255.03172302246094,1.0,150.08033752441406,276.7420959472656,1.0,208.78822326660156,270.703125,1.0
10,175.75,213.45057678222656,1.0,179.84262084960938,234.12823486328125,1.0,146.99050903320312,233.78916931152344,1.0,134.3109588623047,234.61056518554688,1.0,197.14508056640625,230.53701782226562,1.0,208.3974609375,232.17926025390625,1.0,183.1462860107422,256.9073181152344,1.0,149.73080444335938,277.4550476074219,1.0,208.3698272705078,271.3222351074219,1.0
