scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,139.8509979248047,227.443115234375,1.0,138.1031036376953,255.0735321044922,1.0,129.8057098388672,245.2843017578125,1.0,121.29203796386719,251.2308349609375,1.0,173.73321533203125,234.53329467773438,1.0,189.20440673828125,229.37745666503906,1.0,136.7512664794922,272.8573303222656,1.0,121.27151489257812,284.9358825683594,1.0,179.7451629638672,278.58966064453125,1.0
1,140.00439453125,227.24359130859375,1.0,138.08599853515625,254.9945831298828,1.0,129.9394073486328,245.29888916015625,1.0,120.87334442138672,250.5254669189453,1.0,173.97586059570312,234.3644561767578,1.0,189.68751525878906,228.83323669433594,1.0,137.037109375,272.4490966796875,1.0,121.50267791748047,285.1872253417969,1.0,180.00814819335938,278.6216735839844,1.0
2,140.07040405273438,227.4624786376953,1.0,138.03085327148438,255.12181091308594,1.0,129.9136199951172,245.3550262451172,1.0,120.95606994628906,250.95751953125,1.0,174.26031494140625,234.25723266601562,1.0,189.48175048828125,229.47032165527344,1.0,137.1288299560547,272.5206298828125,1.0,121.48306274414062,285.2012939453125,1.0,180.0627899169922,278.4952392578125,1.0
3,140.2872314453125,227.29359436035156,1.0,138.01358032226562,254.97372436523438,1.0,129.9844512939453,245.23435974121094,1.0,120.97454071044922,250.90745544433594,1.0,174.141845703125,234.25901794433594,1.0,189.40567016601562,229.5034637451172,1.0,137.1239013671875,272.42755126953125,1.0,121.50780487060547,285.0809631347656,1.0,180.0569610595703,278.5092468261719,1.0
4,140.310546875,227.35751342773438,1.0,137.91990661621094,254.9409637451172,1.0,129.85841369628906,245.16671752929688,1.0,120.9666748046875,250.63604736328125,1.0,174.25318908691406,234.36485290527344,1.0,189.53126525878906,229.4112548828125,1.0,136.99957275390625,272.4111633300781,1.0,121.47801971435547,285.03265380859375,1.0,179.7877655029297,278.65460205078125,1.0
5,140.38345336914062,227.43174743652344,1.0,137.86074829101562,254.9259796142578,1.0,129.89404296875,245.137451171875,1.0,121.03588104248047,250.6419219970703,1.0,174.32464599609375,234.35443115234375,1.0,189.7061004638672,228.79063415527344,1.0,137.0009307861328,272.5079345703125,1.0,121.43262481689453,285.0213623046875,1.0,179.9031219482422,278.5605163574219,1.0
6,140.21890258789062,227.41358947753906,1.0,137.80520629882812,255.0083465576172,1.0,129.89962768554688,245.16639709472656,1.0,121.0809097290039,250.88926696777344,1.0,174.33360290527344,234.41253662109375,1.0,189.72303771972656,228.90272521972656,1.0,137.02545166015625,272.4428405761719,1.0,121.4455337524414,285.060791015625,1.0,179.90110778808594,278.5421142578125,1.0
7,140.27279663085938,227.44204711914062,1.0,137.85256958007812,254.84616088867188,1.0,129.8719482421875,245.09222412109375,1.0,121.05855560302734,250.8716583251953,1.0,174.31695556640625,234.35464477539062,1.0,189.77011108398438,228.82131958007812,1.0,137.02450561523438,272.50250244140625,1.0,121.41310119628906,285.0811462402344,1.0,179.99249267578125,278.54327392578125,1.0
8,140.19332885742188,227.19119262695312,1.0,137.887939453125,254.94956970214844,1.0,129.91281127929688,245.20895385742188,1.0,120.95756530761719,250.695556640625,1.0,174.18365478515625,234.36154174804688,1.0,189.65733337402344,228.83990478515625,1.0,137.03314208984375,272.3702392578125,1.0,121.40035247802734,285.0536804199219,1.0,179.8252410888672,278.6507568359375,1.0
9,140.07374572753906,227.39781188964844,1.0,137.86947631835938,255.04681396484375,1.0,129.83209228515625,245.24742126464844,1.0,121.1155014038086,250.62522888183594,1.0,174.1217041015625,234.41702270507812,1.0,189.70404052734375,228.9475860595703,1.0,137.06619262695312,272.4593200683594,1.0,121.38882446289062,285.0820617675781,1.0,179.8417205810547,278.672119140625,1.0
10,140.10824584960938,227.39956665039062,1.0,137.92376708984375,255.11605834960938,1.0,129.8895263671875,245.19619750976562,1.0,121.14730834960938,250.52532958984375,1.0,174.26959228515625,234.44964599609375,1.0,189.7845001220703,228.8748016357422,1.0,137.12445068359375,272.4954833984375,1.0,121.41423034667969,285.0462341308594,1.0,179.89744567871094,278.6025695800781,1.0
