scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,226.23040771484375,225.01385498046875,1.0,235.49534606933594,249.46629333496094,1.0,193.09091186523438,238.79808044433594,1.0,178.94424438476562,236.73379516601562,1.0,237.68936157226562,243.58990478515625,0.9999361038208008,244.0677032470703,246.52992248535156,0.9959819316864014,237.06307983398438,267.632568359375,1.0,195.2748260498047,280.41253662109375,1.0,250.1824493408203,280.2757568359375,1.0
1,225.9436492919922,224.99510192871094,1.0,235.4750213623047,249.8975067138672,1.0,193.091552734375,239.03369140625,1.0,179.13352966308594,237.03897094726562,1.0,237.24478149414062,243.5513458251953,0.9999839067459106,243.66709899902344,246.7736053466797,0.9992079138755798,237.1560821533203,268.2891845703125,1.0,195.59559631347656,280.7321472167969,1.0,250.5570526123047,280.16357421875,1.0
2,225.92567443847656,224.89590454101562,1.0,235.52862548828125,249.83485412597656,1.0,193.07923889160156,239.00650024414062,1.0,179.1698760986328,236.9863739013672,1.0,237.29783630371094,243.46322631835938,0.9999803304672241,243.67266845703125,246.70626831054688,0.9989237189292908,237.04879760742188,268.3240966796875,1.0,195.7091064453125,280.75250244140625,1.0,250.48939514160156,280.14434814453125,1.0
3,225.9370574951172,224.6682586669922,1.0,235.5981903076172,249.5037384033203,1.0,193.03541564941406,238.97775268554688,1.0,179.1964874267578,236.96896362304688,1.0,237.8921661376953,243.7101593017578,0.9995837807655334,243.88026428222656,246.53866577148438,0.9853339195251465,236.8302764892578,268.134033203125,1.0,195.8731689453125,280.8077697753906,1.0,250.4584197998047,280.1737060546875,1.0
4,226.05169677734375,224.66964721679688,1.0,235.78082275390625,249.4698486328125,1.0,193.13946533203125,238.8590545654297,1.0,179.26231384277344,237.04327392578125,1.0,238.01258850097656,243.6833953857422,0.9989492297172546,243.99562072753906,246.43321228027344,0.9857977032661438,237.38754272460938,268.1602783203125,1.0,195.99301147460938,280.7184143066406,1.0,250.6177215576172,279.9273681640625,1.0
5,226.2740936279297,224.720458984375,1.0,235.8900909423828,249.38462829589844,1.0,193.17587280273438,238.89385986328125,1.0,179.0842742919922,237.02928161621094,1.0,238.4107666015625,243.78712463378906,0.98577880859375,244.15362548828125,246.15069580078125,0.9247633814811707,237.51060485839844,268.09625244140625,1.0,196.00152587890625,280.6622314453125,1.0,250.6017608642578,279.8421630859375,1.0
6,226.63836669921875,224.74391174316406,1.0,236.05538940429688,249.24658203125,1.0,193.16517639160156,238.86492919921875,1.0,178.96168518066406,236.9976043701172,1.0,238.47181701660156,243.66952514648438,0.9798306226730347,243.45068359375,245.82159423828125,0.9062024354934692,237.77537536621094,267.9530944824219,1.0,196.02748107910156,280.5810241699219,1.0,250.90171813964844,279.89166259765625,1.0
7,226.5705108642578,224.821533203125,1.0,236.06219482421875,249.29074096679688,1.0,193.26046752929688,238.91339111328125,1.0,179.16104125976562,236.9278106689453,1.0,238.28416442871094,243.47836303710938,0.9947447776794434,243.50796508789062,245.76705932617188,0.9707528352737427,237.80087280273438,267.8824768066406,1.0,196.1306915283203,280.6632385253906,1.0,250.99191284179688,279.8106994628906,1.0
8,226.6658172607422,224.56246948242188,1.0,236.14877319335938,249.0480499267578,1.0,193.299072265625,238.86073303222656,1.0,179.1890869140625,236.9263916015625,1.0,238.8187255859375,243.4588165283203,0.9178354144096375,243.62103271484375,245.57601928710938,0.747869074344635,237.8063201904297,267.91387939453125,1.0,196.3121337890625,280.5931396484375,1.0,250.9246063232422,279.8497619628906,1.0
9,226.48394775390625,224.2346954345703,1.0,236.14903259277344,248.8212127685547,1.0,193.3365020751953,238.88560485839844,1.0,178.9344482421875,236.9371337890625,1.0,239.2286376953125,243.3215789794922,0.6018328666687012,243.81488037109375,245.31814575195312,0.3524504005908966,237.8198699951172,267.7564392089844,1.0,196.2465057373047,280.49456787109375,1.0,250.7045135498047,279.93792724609375,1.0
10,226.6163787841797,224.42306518554688,1.0,236.29559326171875,249.06927490234375,1.0,193.25038146972656,238.93875122070312,1.0,178.88406372070312,236.99600219726562,1.0,239.2112579345703,243.58934020996094,0.7059066295623779,243.7800750732422,245.46743774414062,0.40444591641426086,237.96934509277344,267.91033935546875,1.0,196.32130432128906,280.4758605957031,1.0,250.8222198486328,279.881591796875,1.0
