scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,167.63038635253906,183.63412475585938,1.0,170.13449096679688,207.0546112060547,1.0,138.64895629882812,204.84776306152344,1.0,124.84635162353516,206.23240661621094,1.0,190.45408630371094,203.8838653564453,1.0,203.65264892578125,205.52476501464844,1.0,171.30120849609375,223.52584838867188,1.0,135.191162109375,245.1834716796875,1.0,199.8332061767578,241.24183654785156,1.0
1,167.38548278808594,183.4220428466797,1.0,169.84620666503906,206.90782165527344,1.0,138.274658203125,205.6608123779297,1.0,123.76821899414062,206.9576873779297,1.0,190.3959503173828,204.12734985351562,1.0,203.5975341796875,205.6096954345703,1.0,170.97547912597656,223.34878540039062,1.0,135.36795043945312,245.63523864746094,1.0,199.5618896484375,241.55320739746094,1.0
2,167.3203582763672,183.6138458251953,1.0,169.5936279296875,207.0799560546875,1.0,138.18118286132812,205.7887725830078,1.0,124.11965942382812,206.75897216796875,1.0,190.5700225830078,204.37771606445312,1.0,203.5964813232422,205.80953979492188,1.0,170.75515747070312,223.53944396972656,1.0,135.45867919921875,246.1796417236328,1.0,199.41986083984375,241.82369995117188,1.0
3,167.14321899414062,183.87594604492188,1.0,169.91220092773438,207.22119140625,1.0,138.3207244873047,206.0546417236328,1.0,123.77633666992188,207.19107055664062,1.0,190.7108154296875,204.558349609375,1.0,203.66519165039062,205.93685913085938,1.0,171.15853881835938,223.91912841796875,1.0,135.56480407714844,246.22825622558594,1.0,199.5574951171875,242.08737182617188,1.0
4,167.27398681640625,184.0622100830078,1.0,169.8787078857422,207.27146911621094,1.0,138.21466064453125,206.08786010742188,1.0,123.61903381347656,207.50616455078125,1.0,190.7675323486328,204.77340698242188,1.0,203.66891479492188,206.0643310546875,1.0,171.247802734375,223.99424743652344,1.0,135.8106689453125,246.85043334960938,1.0,199.4499969482422,242.14491271972656,1.0
5,167.25550842285156,184.03079223632812,1.0,169.92543029785156,207.42356872558594,1.0,138.14649963378906,206.14599609375,1.0,123.68089294433594,207.62060546875,1.0,190.73043823242188,204.8889923095703,1.0,203.4814910888672,206.05056762695312,1.0,171.26113891601562,224.1493377685547,1.0,135.76083374023438,246.92388916015625,1.0,199.6162872314453,242.2823028564453,1.0
6,166.2439727783203,184.2523193359375,1.0,169.2343292236328,208.0548858642578,1.0,137.36302185058594,206.43125915527344,1.0,123.91401672363281,207.6409454345703,1.0,190.13775634765625,205.4936065673828,1.0,203.2432861328125,206.08168029785156,1.0,170.47454833984375,224.6350860595703,1.0,135.98233032226562,248.10227966308594,1.0,199.4105987548828,242.75091552734375,1.0
7,165.4835205078125,186.24290466308594,1.0,168.07073974609375,211.7179412841797,1.0,136.78326416015625,210.00096130371094,1.0,122.5678482055664,210.8936767578125,1.0,190.30409240722656,208.4009552001953,1.0,203.24632263183594,208.4525146484375,1.0,169.2598876953125,227.89889526367188,1.0,135.35964965820312,250.8145294189453,1.0,199.02459716796875,245.3600616455078,1.0
8,164.3201904296875,189.92636108398438,1.0,167.07945251464844,216.0252685546875,1.0,136.0071563720703,213.05284118652344,1.0,120.73420715332031,213.65615844726562,1.0,189.21449279785156,210.2802276611328,1.0,202.51806640625,211.20974731445312,1.0,168.39730834960938,232.91773986816406,1.0,135.2910919189453,254.74972534179688,1.0,198.36651611328125,251.013427734375,1.0
9,163.4365997314453,191.13229370117188,1.0,166.28192138671875,217.1685333251953,1.0,135.7869110107422,213.93035888671875,1.0,121.15856170654297,213.7954864501953,1.0,188.3834686279297,210.29000854492188,1.0,202.0233612060547,211.38824462890625,1.0,168.17489624023438,235.98008728027344,1.0,134.1631622314453,256.9310607910156,1.0,198.2444610595703,251.8871307373047,1.0
10,162.8878631591797,192.00112915039062,1.0,165.12460327148438,219.09600830078125,1.0,135.5045166015625,214.49205017089844,1.0,120.58064270019531,214.39796447753906,1.0,187.76206970214844,211.5359344482422,1.0,202.14678955078125,212.19639587402344,1.0,166.95704650878906,238.231201171875,1.0,132.83453369140625,258.131103515625,1.0,197.54904174804688,253.5799102783203,1.0
