scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,164.52774047851562,217.0157928466797,1.0,160.5281982421875,254.86244201660156,1.0,143.6654815673828,235.6140899658203,1.0,130.5614471435547,234.04833984375,1.0,193.22914123535156,235.6365203857422,1.0,206.96646118164062,229.21282958984375,1.0,159.13137817382812,277.8158264160156,1.0,133.4360809326172,283.5658874511719,1.0,197.912353515625,283.9195556640625,1.0
1,164.58543395996094,217.27821350097656,1.0,160.56800842285156,254.8603057861328,1.0,143.93853759765625,235.79481506347656,1.0,130.5869140625,234.2498779296875,1.0,193.4158935546875,235.30987548828125,1.0,207.4287872314453,229.3004150390625,1.0,159.40802001953125,277.73565673828125,1.0,133.74771118164062,283.5292663574219,1.0,198.1512908935547,283.9203186035156,1.0
2,164.71432495117188,217.40406799316406,1.0,160.9497528076172,254.98789978027344,1.0,143.99603271484375,235.7461700439453,1.0,130.7269744873047,234.55055236816406,1.0,193.53257751464844,235.09359741210938,1.0,207.65139770507812,229.2080078125,1.0,159.67166137695312,277.73870849609375,1.0,133.80047607421875,283.3345031738281,1.0,198.23751831054688,283.6561584472656,1.0
3,165.00355529785156,217.31114196777344,1.0,161.31166076660156,254.5294952392578,1.0,144.0305938720703,235.63641357421875,1.0,130.75523376464844,234.39004516601562,1.0,193.6511688232422,235.05467224121094,1.0,207.6695556640625,229.3062744140625,1.0,159.8327178955078,277.7126159667969,1.0,133.97720336914062,283.2113952636719,1.0,198.42620849609375,283.6553039550781,1.0
4,165.1138916015625,217.27432250976562,1.0,161.6170654296875,254.27879333496094,1.0,144.33816528320312,235.65838623046875,1.0,130.70603942871094,234.1111297607422,1.0,193.78578186035156,234.91380310058594,1.0,207.85084533691406,229.28573608398438,1.0,160.24465942382812,277.55670166015625,1.0,133.97213745117188,283.0660095214844,1.0,198.3892822265625,283.82147216796875,1.0
5,166.705322265625,217.1366729736328,1.0,163.21990966796875,254.0108184814453,1.0,144.98129272460938,235.17678833007812,1.0,131.30735778808594,233.49432373046875,1.0,194.83505249023438,234.25320434570312,1.0,210.1519012451172,229.83164978027344,1.0,160.87612915039062,277.58001708984375,1.0,134.7960662841797,283.0094909667969,1.0,199.24591064453125,283.6759338378906,1.0
6,168.38755798339844,216.9774627685547,1.0,163.4237823486328,253.40386962890625,1.0,146.37767028808594,234.6678466796875,1.0,133.12025451660156,232.7415771484375,1.0,196.89085388183594,234.42295837402344,1.0,211.76449584960938,229.6438446044922,1.0,161.88558959960938,277.8594970703125,1.0,135.99777221679688,282.9008483886719,1.0,200.04629516601562,283.8135681152344,0.9999998807907104
7,169.83059692382812,217.1945037841797,1.0,165.40182495117188,253.26307678222656,1.0,147.6705322265625,234.38052368164062,1.0,134.04336547851562,232.50384521484375,1.0,197.39004516601562,234.4750518798828,1.0,212.38514709472656,229.68307495117188,1.0,163.42698669433594,277.6445617675781,1.0,136.42919921875,282.3069152832031,1.0,200.9735107421875,283.7083435058594,0.9999998807907104
8,170.1488494873047,217.13954162597656,1.0,166.12403869628906,252.9876251220703,1.0,148.1035919189453,234.36056518554688,1.0,134.55149841308594,232.69895935058594,1.0,197.73008728027344,234.3751678466797,1.0,212.78375244140625,229.58901977539062,1.0,164.32530212402344,277.3200378417969,1.0,136.70159912109375,282.1224670410156,1.0,201.2730712890625,283.6925048828125,0.9999998807907104
9,170.72096252441406,217.1813507080078,1.0,167.01702880859375,253.06500244140625,1.0,148.32925415039062,234.4794464111328,1.0,134.67127990722656,232.8448944091797,1.0,198.2032012939453,234.49746704101562,1.0,213.27423095703125,229.55662536621094,1.0,165.38433837890625,277.1666564941406,1.0,137.43191528320312,282.2771911621094,1.0,201.47085571289062,283.89898681640625,0.9999998807907104
10,171.09161376953125,217.00540161132812,1.0,167.6781005859375,252.9169921875,1.0,148.51670837402344,234.45285034179688,1.0,134.89883422851562,232.79135131835938,1.0,198.435302734375,234.5470428466797,1.0,213.61268615722656,229.6638641357422,1.0,166.03121948242188,277.281494140625,1.0,137.76043701171875,282.4943542480469,1.0,202.24867248535156,283.8077697753906,1.0
