scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,167.34971618652344,216.22457885742188,0.9999996423721313,163.1615447998047,260.566650390625,1.0,143.03538513183594,236.4557647705078,1.0,128.6764678955078,227.52896118164062,1.0,194.50692749023438,239.79864501953125,1.0,210.61766052246094,233.9357147216797,1.0,160.72581481933594,275.8067321777344,1.0,131.92140197753906,280.5343322753906,1.0,198.5228729248047,283.9662780761719,0.9989388585090637
1,167.98794555664062,216.09536743164062,0.9999997615814209,163.4622802734375,260.53216552734375,1.0,143.1846923828125,236.0792999267578,1.0,128.66441345214844,227.593994140625,1.0,194.58314514160156,239.95555114746094,1.0,211.37533569335938,234.00498962402344,1.0,161.03590393066406,275.90753173828125,1.0,132.16754150390625,280.7665100097656,1.0,198.8744354248047,284.1192626953125,0.9991803765296936
2,168.0410919189453,216.43740844726562,0.9999997615814209,163.63003540039062,260.49639892578125,1.0,143.44171142578125,236.3250274658203,1.0,128.8006591796875,227.61830139160156,1.0,194.45138549804688,239.8272705078125,1.0,211.30429077148438,233.74822998046875,1.0,161.09976196289062,275.8155822753906,1.0,132.1934814453125,280.6864929199219,1.0,199.00186157226562,284.2256164550781,0.9994255304336548
3,167.95550537109375,216.23797607421875,0.9999997615814209,163.8245849609375,260.26519775390625,1.0,143.4274139404297,236.2825469970703,1.0,128.62210083007812,227.63845825195312,1.0,194.4559783935547,239.8119354248047,1.0,211.32931518554688,233.71298217773438,1.0,161.22894287109375,275.8324279785156,1.0,132.13430786132812,280.5902099609375,1.0,198.96646118164062,284.271484375,0.9995635151863098
4,167.99627685546875,215.9618377685547,0.9999997615814209,163.895263671875,260.3141174316406,1.0,143.4629364013672,236.28976440429688,1.0,128.7669677734375,227.6363983154297,1.0,194.5355682373047,239.8210906982422,1.0,211.31613159179688,233.6105194091797,1.0,161.30340576171875,275.81719970703125,1.0,132.12486267089844,280.5142822265625,1.0,199.00857543945312,284.2796325683594,0.9995667338371277
5,168.1573486328125,216.09939575195312,0.9999997615814209,163.6611785888672,259.98291015625,1.0,143.45619201660156,236.3323516845703,1.0,128.61891174316406,227.5821075439453,1.0,194.68258666992188,239.77940368652344,1.0,211.4080352783203,233.51869201660156,1.0,161.1908721923828,275.8033142089844,1.0,132.13339233398438,280.6272277832031,1.0,198.7616424560547,284.23974609375,0.9998338222503662
6,168.12136840820312,216.17308044433594,0.9999997615814209,163.67233276367188,259.6037902832031,1.0,143.3927459716797,236.25161743164062,1.0,128.52398681640625,227.51742553710938,1.0,194.6874542236328,239.73289489746094,1.0,211.45616149902344,233.5091094970703,1.0,161.1856689453125,275.8560485839844,1.0,132.1946258544922,280.6497497558594,1.0,198.54364013671875,284.2225341796875,0.9998859167098999
7,167.50674438476562,215.2252197265625,1.0,163.62416076660156,259.1199645996094,1.0,142.42083740234375,235.16651916503906,1.0,128.40139770507812,228.19615173339844,1.0,193.9497528076172,238.42166137695312,1.0,210.8117218017578,232.7557373046875,1.0,161.30665588378906,275.88763427734375,1.0,132.19761657714844,280.7112121582031,1.0,199.066650390625,283.921630859375,0.9997337460517883
8,167.26962280273438,215.0513153076172,1.0,163.52330017089844,259.0625915527344,1.0,142.26022338867188,234.86241149902344,1.0,127.98187255859375,228.02027893066406,1.0,193.65731811523438,238.00039672851562,1.0,210.65016174316406,232.3106689453125,1.0,161.17837524414062,275.80322265625,1.0,132.0602264404297,280.6609802246094,1.0,198.82565307617188,284.0546875,0.9997909665107727
9,166.8046875,215.0101318359375,1.0,163.24061584472656,258.9737854003906,1.0,142.1513214111328,234.8917236328125,1.0,127.8335952758789,228.04486083984375,1.0,193.5272674560547,238.08145141601562,1.0,210.591552734375,232.24363708496094,1.0,160.83456420898438,275.77032470703125,1.0,131.7455291748047,280.5145263671875,1.0,198.39923095703125,284.1920166015625,0.9999158382415771
10,166.81997680664062,214.9236602783203,1.0,163.0673370361328,258.9400329589844,1.0,142.1494903564453,234.853271484375,1.0,127.84982299804688,228.09280395507812,1.0,193.554931640625,238.01124572753906,1.0,210.14407348632812,232.04685974121094,1.0,160.7437744140625,275.7033996582031,1.0,131.74490356445312,280.48919677734375,1.0,198.20980834960938,284.1497802734375,0.999936580657959
