scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,216.82968139648438,227.0946502685547,1.0,216.8739471435547,254.34451293945312,1.0,186.100830078125,238.45262145996094,1.0,169.57650756835938,232.7703094482422,1.0,233.27700805664062,247.5911407470703,1.0,244.38038635253906,249.0332794189453,1.0,214.4943389892578,272.3817138671875,1.0,173.0890655517578,280.4784851074219,1.0,232.87640380859375,286.369384765625,0.9999997615814209
1,217.00189208984375,227.01612854003906,1.0,217.5798797607422,255.09124755859375,1.0,186.63294982910156,237.9629364013672,1.0,171.6507110595703,232.49356079101562,1.0,233.17681884765625,247.0074920654297,1.0,244.60943603515625,249.13832092285156,1.0,214.97267150878906,271.7351379394531,1.0,173.28517150878906,280.6407775878906,1.0,233.27935791015625,286.5326843261719,0.9999997615814209
2,217.7962188720703,226.7061767578125,1.0,218.0771484375,254.6378173828125,1.0,187.2740020751953,236.58926391601562,1.0,171.59548950195312,231.97283935546875,1.0,233.77857971191406,246.18948364257812,1.0,244.80201721191406,248.5233154296875,1.0,215.39048767089844,272.3000183105469,1.0,173.9076690673828,280.0940856933594,1.0,233.99134826660156,286.3096008300781,0.9999998807907104
3,218.37001037597656,226.70175170898438,1.0,218.46218872070312,254.59982299804688,1.0,187.52499389648438,236.45924377441406,1.0,171.83709716796875,231.9180908203125,1.0,234.0480499267578,246.2591094970703,1.0,245.0013885498047,248.74513244628906,1.0,215.969970703125,271.9505920410156,1.0,174.50497436523438,280.2455749511719,1.0,234.2742156982422,286.4873046875,0.9999998807907104
4,218.6358184814453,227.06707763671875,1.0,218.99282836914062,254.03440856933594,1.0,187.6012725830078,236.3362579345703,1.0,172.19956970214844,231.572509765625,1.0,234.1634063720703,246.16094970703125,1.0,244.9478759765625,248.74925231933594,1.0,216.33949279785156,271.71929931640625,1.0,174.48997497558594,280.3302001953125,1.0,234.284912109375,286.2652587890625,0.9999998807907104
5,218.669189453125,226.9792022705078,1.0,219.2976837158203,253.95458984375,1.0,187.74435424804688,236.229736328125,1.0,172.31919860839844,231.7270965576172,1.0,234.4222412109375,246.23280334472656,1.0,245.2227325439453,248.82183837890625,1.0,216.80276489257812,271.66900634765625,1.0,174.78952026367188,280.0346374511719,1.0,234.71092224121094,285.9086608886719,0.9999998807907104
6,219.48077392578125,226.75332641601562,1.0,220.4631805419922,253.72459411621094,1.0,187.94113159179688,236.2417755126953,1.0,172.60142517089844,231.72164916992188,1.0,234.73236083984375,246.23011779785156,1.0,245.32278442382812,248.80416870117188,1.0,218.1836700439453,271.3132629394531,1.0,175.2745819091797,280.1578369140625,1.0,235.17263793945312,286.353515625,0.9999998807907104
7,220.75262451171875,226.6645965576172,1.0,221.32249450683594,253.14166259765625,1.0,188.69081115722656,236.18521118164062,1.0,172.61708068847656,231.68643188476562,1.0,235.68386840820312,246.13693237304688,1.0,245.81048583984375,248.6227569580078,1.0,218.92721557617188,271.1299133300781,1.0,175.7653045654297,280.2178649902344,1.0,236.11976623535156,286.5196838378906,0.9999998807907104
8,222.14816284179688,226.33775329589844,1.0,221.87985229492188,252.6451873779297,1.0,190.41412353515625,235.51939392089844,1.0,173.78555297851562,231.140869140625,1.0,236.3566131591797,245.80764770507812,1.0,246.15187072753906,248.18263244628906,1.0,218.9065399169922,270.3861083984375,1.0,177.5975799560547,279.4351806640625,1.0,236.95965576171875,286.3361511230469,0.9999998807907104
9,222.8595428466797,226.0813751220703,1.0,223.43251037597656,252.302001953125,1.0,191.10313415527344,235.55377197265625,1.0,175.18858337402344,230.61903381347656,1.0,236.91136169433594,246.00807189941406,1.0,246.4286651611328,248.26943969726562,1.0,220.37042236328125,270.17535400390625,1.0,179.1604766845703,279.913330078125,1.0,237.5745086669922,286.5660705566406,0.9999996423721313
10,223.84716796875,226.4974365234375,1.0,224.25845336914062,252.1094207763672,1.0,191.4261932373047,235.73855590820312,1.0,176.25006103515625,230.81129455566406,1.0,237.34292602539062,245.9285125732422,1.0,246.8252716064453,247.91934204101562,1.0,221.52145385742188,269.4117126464844,1.0,179.97259521484375,279.9022216796875,1.0,238.92787170410156,285.95648193359375,0.9999988079071045
