scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,180.5616912841797,214.21859741210938,1.0,181.33154296875,251.4508819580078,1.0,155.49794006347656,232.0382537841797,1.0,137.6876220703125,224.778564453125,1.0,209.5397186279297,235.61630249023438,1.0,226.06475830078125,229.30899047851562,1.0,181.5791473388672,271.6054382324219,1.0,146.6604461669922,281.70404052734375,1.0,211.9551239013672,282.14019775390625,1.0
1,180.72703552246094,214.2259521484375,1.0,182.2032012939453,250.98643493652344,1.0,155.53424072265625,232.39759826660156,1.0,138.05882263183594,225.06480407714844,1.0,209.77020263671875,235.81222534179688,1.0,226.11293029785156,229.625732421875,1.0,181.8934326171875,271.7135925292969,1.0,147.60537719726562,281.8427734375,1.0,211.85324096679688,282.2507629394531,1.0
2,181.01556396484375,214.33592224121094,1.0,181.8844757080078,250.96360778808594,1.0,155.45216369628906,232.3338165283203,1.0,138.03756713867188,224.98399353027344,1.0,209.93350219726562,235.74366760253906,1.0,226.31065368652344,229.4381561279297,1.0,181.80178833007812,271.9204406738281,1.0,147.5317840576172,282.15380859375,1.0,211.99432373046875,282.2685852050781,1.0
3,180.94174194335938,214.30270385742188,1.0,182.01824951171875,250.73483276367188,1.0,155.74217224121094,232.56459045410156,1.0,138.13656616210938,224.99537658691406,1.0,210.0215606689453,235.74403381347656,1.0,226.37149047851562,229.47666931152344,1.0,181.82098388671875,272.0257568359375,1.0,147.66542053222656,282.05279541015625,1.0,212.03021240234375,282.35479736328125,1.0
4,181.01211547851562,214.3500213623047,1.0,182.21690368652344,250.9384307861328,1.0,155.92782592773438,232.5489959716797,1.0,138.19224548339844,224.86245727539062,1.0,209.93966674804688,235.7869873046875,1.0,226.3406219482422,229.4649658203125,1.0,181.88839721679688,272.2368469238281,1.0,147.5905303955078,281.93927001953125,1.0,212.0380859375,282.3702697753906,1.0
5,181.05909729003906,214.4194793701172,1.0,182.2515869140625,251.24722290039062,1.0,155.96875,232.71717834472656,1.0,138.26480102539062,225.02090454101562,1.0,209.99514770507812,235.84751892089844,1.0,226.32008361816406,229.4622802734375,1.0,181.94656372070312,272.2101135253906,1.0,148.00746154785156,282.06072998046875,1.0,212.18751525878906,282.15423583984375,1.0
6,181.1318359375,214.43199157714844,1.0,182.1620330810547,250.89260864257812,1.0,155.953125,232.55972290039062,1.0,138.1710205078125,225.07142639160156,1.0,210.13438415527344,235.78782653808594,1.0,226.39761352539062,229.49551391601562,1.0,182.04754638671875,272.14166259765625,1.0,147.7693634033203,282.3205261230469,1.0,212.32928466796875,282.1150207519531,1.0
7,181.11537170410156,214.31300354003906,1.0,181.75723266601562,251.0045623779297,1.0,155.97055053710938,232.52745056152344,1.0,138.2255401611328,225.13108825683594,1.0,210.05252075195312,235.80128479003906,1.0,226.3355255126953,229.56321716308594,1.0,181.81564331054688,272.0936279296875,1.0,148.04248046875,283.1745300292969,1.0,212.43772888183594,282.2361755371094,1.0
8,181.1144256591797,214.35374450683594,1.0,181.58033752441406,251.07260131835938,1.0,156.0070343017578,232.5870819091797,1.0,138.29974365234375,225.27122497558594,1.0,210.0216064453125,235.84121704101562,1.0,226.32456970214844,229.57559204101562,1.0,181.72427368164062,272.1392517089844,1.0,147.98643493652344,283.2472839355469,1.0,212.46401977539062,282.2853088378906,1.0
9,181.14537048339844,214.46035766601562,1.0,181.6459197998047,250.96107482910156,1.0,155.9744110107422,232.53382873535156,1.0,138.24725341796875,225.23118591308594,1.0,210.12246704101562,235.8686065673828,1.0,226.51669311523438,229.62425231933594,1.0,181.74330139160156,272.07122802734375,1.0,147.8002471923828,283.2348327636719,1.0,212.38247680664062,282.3966979980469,1.0
10,181.0934600830078,214.24696350097656,1.0,181.54307556152344,251.06712341308594,1.0,155.9304962158203,232.46409606933594,1.0,138.29563903808594,225.207275390625,1.0,210.017578125,235.80738830566406,1.0,226.3334503173828,229.62106323242188,1.0,181.67434692382812,272.08984375,1.0,147.8109130859375,283.306396484375,1.0,212.3788604736328,282.3117980957031,1.0
