scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,156.31362915039062,213.8861846923828,1.0,143.0926971435547,256.3229675292969,1.0,138.0299835205078,232.71588134765625,1.0,126.28609466552734,226.8101806640625,1.0,185.65530395507812,238.2280731201172,1.0,203.40020751953125,234.86825561523438,1.0,139.63121032714844,274.59930419921875,1.0,121.99918365478516,277.7416687011719,1.0,183.64956665039062,282.7915954589844,0.9904110431671143
1,156.2577362060547,213.7682647705078,1.0,143.4400177001953,256.2394104003906,1.0,138.21241760253906,232.87010192871094,1.0,126.29638671875,226.6168975830078,1.0,185.62196350097656,237.91802978515625,1.0,203.15716552734375,234.20037841796875,1.0,140.23065185546875,274.5711669921875,1.0,122.35936737060547,277.56378173828125,1.0,184.4846954345703,282.81402587890625,0.9949041604995728
2,156.55401611328125,213.62098693847656,1.0,143.46633911132812,256.12939453125,1.0,138.2304229736328,232.81829833984375,1.0,126.38569641113281,226.58921813964844,1.0,185.58175659179688,237.95724487304688,1.0,203.24925231933594,234.16299438476562,1.0,140.23443603515625,274.5143127441406,1.0,122.35008239746094,277.53387451171875,1.0,184.4904022216797,282.7889709472656,0.9953067898750305
3,156.51878356933594,213.6677703857422,1.0,143.42575073242188,256.0564880371094,1.0,138.2181396484375,232.81973266601562,1.0,126.36612701416016,226.58523559570312,1.0,185.66294860839844,237.96267700195312,1.0,203.43896484375,234.89083862304688,1.0,140.22923278808594,274.5244140625,1.0,122.34685516357422,277.5472412109375,1.0,184.49087524414062,282.81158447265625,0.995353102684021
4,156.561767578125,213.69866943359375,1.0,143.35655212402344,256.0870056152344,1.0,138.23524475097656,232.79928588867188,1.0,126.37049102783203,226.55772399902344,1.0,185.77597045898438,237.9868621826172,1.0,203.4519805908203,234.91412353515625,1.0,140.21621704101562,274.4958801269531,1.0,122.3383560180664,277.5017395019531,1.0,184.50796508789062,282.82147216796875,0.9953540563583374
5,156.53848266601562,213.6442413330078,1.0,143.49420166015625,256.10791015625,1.0,138.18905639648438,232.7546844482422,1.0,126.4921875,226.86148071289062,1.0,185.89901733398438,237.89561462402344,1.0,203.6961669921875,234.8655548095703,1.0,140.22061157226562,274.4232177734375,1.0,122.24620056152344,277.4208984375,1.0,184.72915649414062,282.779296875,0.9942631125450134
6,156.4851837158203,213.72216796875,1.0,143.56541442871094,256.20721435546875,1.0,138.21713256835938,232.7955780029297,1.0,126.57855987548828,226.92332458496094,1.0,185.91500854492188,237.86512756347656,1.0,203.67662048339844,234.76133728027344,1.0,140.30978393554688,274.4317626953125,1.0,122.36518096923828,277.5527648925781,1.0,184.78427124023438,282.7860412597656,0.9948312640190125
7,156.57899475097656,213.69789123535156,1.0,143.61024475097656,256.1064758300781,1.0,138.23936462402344,232.77838134765625,1.0,126.63243103027344,226.92730712890625,1.0,186.01719665527344,237.87503051757812,1.0,203.78738403320312,234.73641967773438,1.0,140.3369903564453,274.4468688964844,1.0,122.41041564941406,277.5939025878906,1.0,184.93740844726562,282.6734313964844,0.9942903518676758
8,156.5724334716797,213.59019470214844,1.0,143.64305114746094,256.0184631347656,1.0,138.19773864746094,232.67601013183594,1.0,126.59339141845703,226.86837768554688,1.0,185.9918975830078,237.86387634277344,1.0,203.78970336914062,234.69094848632812,1.0,140.3900146484375,274.38421630859375,1.0,122.39057159423828,277.6182556152344,1.0,184.87464904785156,282.74951171875,0.9958230257034302
9,156.80032348632812,213.61627197265625,1.0,143.7665252685547,255.6962127685547,1.0,138.2080078125,232.63400268554688,1.0,126.68883514404297,226.9896240234375,1.0,186.0734100341797,237.89584350585938,1.0,203.81324768066406,234.73526000976562,1.0,140.36668395996094,274.4404296875,1.0,122.3384017944336,277.6352233886719,1.0,184.86996459960938,282.7658996582031,0.9937816262245178
10,156.4980010986328,208.79037475585938,1.0,142.48898315429688,250.98764038085938,1.0,136.6653594970703,229.67665100097656,1.0,126.42756652832031,225.06723022460938,1.0,185.0514678955078,234.91262817382812,1.0,203.87527465820312,232.28860473632812,1.0,140.13226318359375,273.32501220703125,1.0,121.47093200683594,276.3968505859375,1.0,184.11428833007812,282.1441955566406,0.999175488948822
