scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,201.2891082763672,213.64126586914062,1.0,204.6584014892578,243.43106079101562,1.0,169.54664611816406,229.79002380371094,1.0,152.46824645996094,227.78900146484375,1.0,219.402587890625,232.92356872558594,1.0,230.12905883789062,232.42178344726562,1.0,205.3135986328125,263.5801696777344,1.0,161.33737182617188,274.7734680175781,1.0,224.85304260253906,278.3585205078125,1.0
1,201.6125030517578,213.62135314941406,1.0,204.95176696777344,243.69190979003906,1.0,169.7111358642578,229.6592559814453,1.0,152.6841278076172,227.7069091796875,1.0,219.63418579101562,232.97886657714844,1.0,230.57101440429688,232.4792022705078,1.0,205.84498596191406,263.9714660644531,1.0,161.02525329589844,274.6895751953125,1.0,225.20469665527344,278.4233703613281,1.0
2,201.89451599121094,213.6080780029297,1.0,205.10775756835938,243.4927978515625,1.0,169.9140625,229.54515075683594,1.0,152.9896697998047,227.59121704101562,1.0,219.91128540039062,233.01495361328125,1.0,230.8319549560547,232.67259216308594,1.0,206.0626678466797,263.98162841796875,1.0,160.92942810058594,274.5871276855469,1.0,225.27577209472656,278.4591369628906,1.0
3,202.01577758789062,213.83575439453125,1.0,205.25030517578125,243.47654724121094,1.0,169.99734497070312,229.6056365966797,1.0,152.88235473632812,227.62353515625,1.0,219.94117736816406,233.08316040039062,1.0,230.82611083984375,232.74246215820312,1.0,206.25750732421875,263.7962646484375,1.0,160.93243408203125,274.564208984375,1.0,225.37777709960938,278.42120361328125,1.0
4,202.0436248779297,213.8571014404297,1.0,205.41957092285156,243.44772338867188,1.0,170.10975646972656,229.6246337890625,1.0,152.8201141357422,227.55935668945312,1.0,219.93807983398438,233.08895874023438,1.0,230.8378448486328,232.74331665039062,1.0,206.36158752441406,263.70733642578125,1.0,160.98294067382812,274.6290588378906,1.0,225.4385528564453,278.4009704589844,1.0
5,202.1582489013672,214.3531494140625,1.0,205.49368286132812,243.46385192871094,1.0,170.22242736816406,230.00389099121094,1.0,152.8837432861328,227.59156799316406,1.0,219.9906463623047,233.24803161621094,1.0,230.92257690429688,232.832275390625,1.0,206.46194458007812,263.6897888183594,1.0,161.06271362304688,274.6614990234375,1.0,225.60470581054688,278.3559265136719,1.0
6,202.1620635986328,214.20188903808594,1.0,205.6100311279297,243.33950805664062,1.0,170.2629852294922,229.9478302001953,1.0,152.83932495117188,227.5120849609375,1.0,220.05809020996094,233.26939392089844,1.0,230.95066833496094,232.77745056152344,1.0,206.63282775878906,263.616943359375,1.0,161.0780792236328,274.6440124511719,1.0,225.66726684570312,278.2369689941406,1.0
7,202.28134155273438,214.30889892578125,1.0,205.66856384277344,243.37965393066406,1.0,170.31494140625,229.95669555664062,1.0,152.76144409179688,227.47935485839844,1.0,220.14781188964844,233.29263305664062,1.0,230.9683074951172,232.8358612060547,1.0,206.61863708496094,263.6593322753906,1.0,161.1211700439453,274.6360778808594,1.0,225.7524871826172,278.12835693359375,1.0
8,202.124755859375,214.31105041503906,1.0,205.69491577148438,243.35208129882812,1.0,170.21914672851562,229.9275360107422,1.0,152.7013397216797,227.4413604736328,1.0,220.08908081054688,233.39593505859375,1.0,230.9407196044922,232.84335327148438,1.0,206.61228942871094,263.6448974609375,1.0,161.14822387695312,274.6917724609375,1.0,225.74404907226562,278.189208984375,1.0
9,200.75314331054688,213.11260986328125,1.0,203.34567260742188,243.45404052734375,1.0,168.13497924804688,229.3604278564453,1.0,151.0946044921875,226.9757080078125,1.0,218.38392639160156,232.2415008544922,1.0,229.70867919921875,232.35630798339844,1.0,204.3717041015625,263.79449462890625,1.0,160.18450927734375,275.2336120605469,1.0,224.5001220703125,277.9024963378906,1.0
10,194.0743865966797,211.08367919921875,1.0,196.9593048095703,243.20907592773438,1.0,161.61099243164062,228.86138916015625,1.0,146.35044860839844,227.21153259277344,1.0,213.51194763183594,230.85269165039062,1.0,225.4225616455078,230.93870544433594,1.0,197.33763122558594,262.68365478515625,1.0,155.30667114257812,274.47698974609375,1.0,219.7864990234375,277.3864440917969,1.0
