scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,172.218017578125,224.79176330566406,1.0,165.64930725097656,248.14207458496094,1.0,148.4886932373047,244.3972625732422,1.0,137.0457000732422,246.6611785888672,1.0,196.63046264648438,244.21517944335938,1.0,210.1613311767578,246.32151794433594,1.0,165.8216552734375,264.7147216796875,1.0,137.1196746826172,278.9255065917969,1.0,196.02085876464844,281.4148254394531,1.0
1,172.31336975097656,225.1315460205078,1.0,166.38131713867188,248.494873046875,1.0,148.41676330566406,244.43902587890625,1.0,137.0724639892578,246.63418579101562,1.0,196.34054565429688,244.1539764404297,1.0,210.49623107910156,246.51324462890625,1.0,166.4059600830078,264.46856689453125,1.0,137.48745727539062,278.7919006347656,1.0,196.24993896484375,281.4815673828125,1.0
2,172.29620361328125,225.3357391357422,1.0,166.33456420898438,249.18394470214844,1.0,148.38046264648438,244.44444274902344,1.0,137.1073455810547,246.849365234375,1.0,196.439453125,244.40225219726562,1.0,210.7467041015625,246.9817657470703,1.0,166.9571990966797,265.5737609863281,1.0,137.53097534179688,278.8609313964844,1.0,196.32908630371094,281.9590759277344,1.0
3,172.51873779296875,226.81117248535156,1.0,166.51324462890625,250.6476593017578,1.0,149.1522674560547,246.35995483398438,1.0,137.41224670410156,247.3154754638672,1.0,196.4379425048828,246.01046752929688,1.0,210.21444702148438,248.17041015625,1.0,167.1485595703125,268.19476318359375,1.0,137.78732299804688,279.9652404785156,1.0,197.13494873046875,282.8359069824219,1.0
4,172.06655883789062,227.9634552001953,1.0,166.52243041992188,251.72625732421875,1.0,149.08773803710938,247.72622680664062,1.0,136.7759552001953,248.3973388671875,1.0,196.52584838867188,246.55325317382812,1.0,211.14471435546875,248.96861267089844,1.0,166.61080932617188,268.95068359375,1.0,138.4957275390625,281.31207275390625,1.0,197.1831817626953,283.1847229003906,1.0
5,172.45484924316406,227.99525451660156,1.0,166.68324279785156,251.86935424804688,1.0,149.45277404785156,247.969482421875,1.0,136.95095825195312,248.73704528808594,1.0,196.8081512451172,246.83566284179688,1.0,211.34292602539062,249.22434997558594,1.0,166.80149841308594,269.1420593261719,1.0,138.90908813476562,282.06402587890625,1.0,197.49072265625,283.3442077636719,1.0
6,172.42127990722656,228.19322204589844,1.0,166.58294677734375,252.073974609375,1.0,149.38124084472656,248.08538818359375,1.0,136.88194274902344,248.7650604248047,1.0,196.8970184326172,246.95977783203125,1.0,211.38858032226562,249.2249298095703,1.0,166.68115234375,269.63177490234375,1.0,138.13247680664062,282.3150634765625,1.0,197.5261688232422,283.3504943847656,1.0
7,172.57113647460938,228.45018005371094,1.0,166.95347595214844,252.03854370117188,1.0,149.4186248779297,248.2496337890625,1.0,136.7705841064453,248.7012176513672,1.0,196.9356231689453,247.3745574951172,1.0,211.5449676513672,249.62969970703125,1.0,167.00384521484375,269.56103515625,1.0,137.9654998779297,282.3323974609375,1.0,197.54559326171875,283.7191162109375,1.0
8,172.41258239746094,229.36801147460938,1.0,167.05624389648438,252.78143310546875,1.0,149.54136657714844,249.5235137939453,1.0,136.06446838378906,248.78848266601562,1.0,196.8434600830078,248.79226684570312,1.0,211.10777282714844,249.7661895751953,1.0,167.0596923828125,269.7981872558594,1.0,138.2353973388672,282.9012756347656,1.0,198.1986541748047,284.06024169921875,1.0
9,173.40328979492188,231.33148193359375,1.0,169.94252014160156,256.1065979003906,1.0,149.97445678710938,250.2068634033203,1.0,136.98629760742188,249.74713134765625,1.0,197.7605743408203,250.68301391601562,1.0,211.3444061279297,250.46304321289062,1.0,168.90167236328125,275.02850341796875,1.0,139.2718505859375,284.63922119140625,1.0,199.4496612548828,285.8597717285156,1.0
10,173.8216552734375,232.00230407714844,1.0,170.33306884765625,257.1854248046875,1.0,150.1536407470703,250.82118225097656,1.0,136.99746704101562,249.85374450683594,1.0,197.50889587402344,250.63934326171875,1.0,211.93023681640625,250.78302001953125,1.0,169.51776123046875,275.2101745605469,1.0,138.972412109375,285.5902099609375,1.0,200.25697326660156,286.5711364746094,1.0
