scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,180.88291931152344,210.2655029296875,1.0,183.66793823242188,242.35923767089844,1.0,155.2410430908203,227.94151306152344,1.0,139.2224578857422,226.78280639648438,1.0,206.99874877929688,225.5948486328125,1.0,221.2767791748047,221.03976440429688,1.0,184.9048614501953,263.3165283203125,1.0,152.29708862304688,275.18328857421875,1.0,212.5611572265625,274.6949157714844,1.0
1,180.74053955078125,210.25253295898438,1.0,183.60931396484375,242.2449493408203,1.0,155.0370635986328,227.74856567382812,1.0,139.5041961669922,226.9557647705078,1.0,206.88470458984375,225.45999145507812,1.0,221.1189422607422,221.03733825683594,1.0,184.5100555419922,263.0660400390625,1.0,151.69552612304688,275.1311340332031,1.0,212.08343505859375,274.95123291015625,1.0
2,180.73631286621094,210.63844299316406,1.0,183.23631286621094,242.24142456054688,1.0,154.91575622558594,227.82997131347656,1.0,139.46267700195312,227.13204956054688,1.0,206.84519958496094,225.56942749023438,1.0,221.20950317382812,221.2271270751953,1.0,184.03634643554688,262.7615661621094,1.0,151.63116455078125,275.1712341308594,1.0,211.76243591308594,275.1500549316406,1.0
3,180.67477416992188,210.64352416992188,1.0,183.01275634765625,242.17201232910156,1.0,155.08566284179688,227.73069763183594,1.0,139.6305694580078,226.96946716308594,1.0,206.88198852539062,225.5792694091797,1.0,221.31468200683594,221.32882690429688,1.0,183.8694305419922,262.7275390625,1.0,151.63685607910156,275.08831787109375,1.0,211.03329467773438,275.3718566894531,1.0
4,180.5211181640625,210.76893615722656,1.0,182.84866333007812,242.2529296875,1.0,155.05494689941406,227.83656311035156,1.0,139.68896484375,226.9297637939453,1.0,206.91802978515625,225.59237670898438,1.0,221.33848571777344,221.3926544189453,1.0,183.75315856933594,262.7935791015625,1.0,151.7183380126953,275.07476806640625,1.0,211.05577087402344,275.3743896484375,1.0
5,180.4923095703125,210.9622802734375,1.0,182.85546875,242.24362182617188,1.0,155.08355712890625,227.95228576660156,1.0,139.68023681640625,226.81736755371094,1.0,206.91323852539062,225.4542694091797,1.0,221.32994079589844,221.38055419921875,1.0,183.77139282226562,262.8411560058594,1.0,151.68540954589844,275.2397155761719,1.0,211.0269012451172,275.4110412597656,1.0
6,180.59295654296875,210.8841094970703,1.0,182.8709716796875,242.07357788085938,1.0,155.2495880126953,227.82693481445312,1.0,139.4912109375,226.846435546875,1.0,206.93077087402344,225.431640625,1.0,221.3346710205078,221.42440795898438,1.0,183.9241180419922,262.71783447265625,1.0,151.73919677734375,275.2189025878906,1.0,211.29025268554688,275.2975769042969,1.0
7,180.77383422851562,210.40982055664062,1.0,182.89700317382812,241.33338928222656,1.0,155.37344360351562,226.63674926757812,1.0,138.6973114013672,226.57749938964844,1.0,207.43406677246094,224.5632781982422,1.0,221.6554718017578,221.58895874023438,1.0,183.93173217773438,262.5087585449219,1.0,151.485595703125,274.83489990234375,1.0,211.28604125976562,275.48529052734375,1.0
8,181.39730834960938,209.90196228027344,1.0,183.24453735351562,241.36439514160156,1.0,155.75779724121094,225.3164825439453,1.0,139.61920166015625,225.5625,1.0,207.89710998535156,223.16213989257812,1.0,222.02891540527344,221.0670623779297,1.0,183.9375,262.1763610839844,1.0,151.45840454101562,274.37982177734375,1.0,211.37075805664062,275.2919921875,1.0
9,181.60179138183594,209.47256469726562,1.0,183.36705017089844,241.22772216796875,1.0,156.09133911132812,225.15493774414062,1.0,139.86302185058594,225.3236846923828,1.0,208.0293731689453,223.11009216308594,1.0,222.21881103515625,220.68434143066406,1.0,184.1494598388672,262.071044921875,1.0,152.14137268066406,274.0819091796875,1.0,211.37744140625,275.193603515625,1.0
10,181.48733520507812,209.52780151367188,1.0,183.3226776123047,241.0868682861328,1.0,155.84970092773438,224.96420288085938,1.0,139.9361114501953,224.97715759277344,1.0,208.03594970703125,222.9918975830078,1.0,222.34849548339844,220.63328552246094,1.0,183.98956298828125,261.9129943847656,1.0,152.13009643554688,274.0700988769531,1.0,211.46725463867188,275.2484130859375,1.0
