scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,187.97080993652344,219.05340576171875,1.0,176.19273376464844,260.03936767578125,1.0,165.71292114257812,233.24594116210938,1.0,152.08456420898438,228.50729370117188,1.0,212.6949005126953,240.90341186523438,1.0,229.35169982910156,237.92227172851562,1.0,173.18434143066406,278.0570983886719,1.0,148.75177001953125,282.79498291015625,1.0,212.19801330566406,287.7662658691406,0.9999998807907104
1,187.7185821533203,218.03062438964844,1.0,177.65647888183594,258.9017333984375,1.0,165.4408721923828,232.4811248779297,1.0,151.92408752441406,227.7316436767578,1.0,212.22344970703125,240.09112548828125,1.0,228.99900817871094,237.99754333496094,1.0,173.0782012939453,277.8570861816406,1.0,149.0314483642578,282.69708251953125,1.0,212.20262145996094,287.7342224121094,0.9999998807907104
2,187.39389038085938,218.3517303466797,1.0,177.4937744140625,258.9308166503906,1.0,165.18788146972656,232.5219268798828,1.0,151.60646057128906,227.9394073486328,1.0,212.15957641601562,239.8346710205078,1.0,228.87147521972656,237.8107452392578,1.0,172.84164428710938,277.86016845703125,1.0,148.91079711914062,282.8311767578125,1.0,212.11993408203125,287.8176574707031,0.9999998807907104
3,187.09329223632812,218.3077392578125,1.0,177.2547149658203,259.0049743652344,1.0,165.10691833496094,232.78892517089844,1.0,151.522705078125,228.33021545410156,1.0,212.11865234375,240.0298614501953,1.0,228.52044677734375,238.08331298828125,1.0,172.8320770263672,277.9756774902344,1.0,148.4010009765625,283.1200866699219,1.0,211.79498291015625,288.1451721191406,0.9999998807907104
4,186.3641815185547,218.5016632080078,1.0,176.73646545410156,259.47698974609375,1.0,164.57061767578125,232.98609924316406,1.0,151.23870849609375,228.42408752441406,1.0,211.85279846191406,240.06573486328125,1.0,228.22662353515625,237.70425415039062,1.0,172.71109008789062,277.8319091796875,1.0,147.78826904296875,283.0553894042969,1.0,211.85226440429688,288.1207580566406,1.0
5,185.6938018798828,218.46702575683594,1.0,176.48614501953125,259.7524108886719,1.0,164.2894287109375,233.19769287109375,1.0,150.8852996826172,228.59938049316406,1.0,211.29217529296875,240.17645263671875,1.0,227.75477600097656,237.90931701660156,1.0,172.56240844726562,277.9586181640625,1.0,147.60829162597656,283.1676025390625,1.0,211.957763671875,288.193115234375,0.9999998807907104
6,185.48086547851562,218.4553985595703,1.0,176.1970672607422,260.1223449707031,1.0,164.06268310546875,233.1740264892578,1.0,150.68215942382812,228.5757293701172,1.0,211.16387939453125,240.334716796875,1.0,227.62379455566406,237.92767333984375,1.0,171.779296875,277.869140625,1.0,147.18115234375,283.1439208984375,1.0,211.9741973876953,288.2115173339844,1.0
7,185.55006408691406,218.52809143066406,1.0,176.0744171142578,260.42596435546875,1.0,163.9998016357422,233.2284698486328,1.0,150.76193237304688,228.62939453125,1.0,211.21939086914062,240.4811553955078,1.0,226.8348846435547,237.30201721191406,1.0,171.7858123779297,277.8548889160156,1.0,146.9242706298828,283.10137939453125,1.0,212.2572021484375,288.2767639160156,1.0
8,190.00643920898438,217.6199493408203,1.0,177.89047241210938,258.289794921875,1.0,165.871337890625,231.01651000976562,1.0,151.47032165527344,227.6639404296875,1.0,214.23184204101562,239.1812744140625,1.0,230.52825927734375,237.77001953125,1.0,173.1712188720703,278.00384521484375,1.0,149.10720825195312,282.8816833496094,1.0,212.85519409179688,288.2659606933594,0.9999997615814209
9,194.13572692871094,215.6854248046875,1.0,181.8845977783203,256.1131591796875,1.0,169.23814392089844,228.56224060058594,1.0,154.9324951171875,225.72572326660156,1.0,217.1554718017578,237.01039123535156,1.0,233.13121032714844,236.4674072265625,1.0,176.1978302001953,276.57061767578125,1.0,152.21372985839844,280.7038879394531,1.0,214.77735900878906,287.6592102050781,0.9999997615814209
10,195.59779357910156,214.67347717285156,1.0,184.0647430419922,256.32183837890625,1.0,171.03616333007812,228.53411865234375,1.0,156.6293182373047,224.36570739746094,1.0,218.63522338867188,236.3446044921875,1.0,234.42137145996094,235.6181640625,1.0,179.09164428710938,276.76702880859375,1.0,153.83761596679688,280.59698486328125,1.0,216.20877075195312,287.63653564453125,0.9999998807907104
