scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,149.01156616210938,218.12820434570312,1.0,137.1213836669922,239.16770935058594,1.0,130.89527893066406,238.89019775390625,0.021734869107604027,127.55268096923828,240.0948028564453,0.015312240459024906,176.56414794921875,238.0336151123047,1.0,192.874267578125,239.4440460205078,1.0,133.31509399414062,255.71755981445312,1.0,115.1353530883789,272.9940185546875,1.0,164.2943572998047,274.0573425292969,1.0
1,147.42376708984375,218.47584533691406,1.0,134.56895446777344,238.44476318359375,1.0,130.0354766845703,237.70651245117188,0.005999596323817968,126.81132507324219,239.4397735595703,0.002484785858541727,175.3911895751953,237.14540100097656,1.0,189.61138916015625,238.676513671875,1.0,130.4424591064453,254.8127899169922,1.0,114.22838592529297,272.44439697265625,1.0,162.07443237304688,273.721435546875,1.0
2,146.94332885742188,218.58084106445312,1.0,134.131103515625,238.32659912109375,1.0,129.69412231445312,237.5867462158203,0.001793172094039619,126.81896209716797,239.6724090576172,0.0009800012921914458,174.77310180664062,237.01162719726562,1.0,188.92584228515625,238.7992706298828,1.0,129.92510986328125,254.57174682617188,1.0,113.75157928466797,272.9620666503906,1.0,161.28944396972656,274.0135192871094,1.0
3,146.69091796875,218.9538116455078,1.0,133.9409637451172,238.5918426513672,1.0,129.6398162841797,237.7796630859375,0.0008241341565735638,126.74950408935547,239.84182739257812,0.0006039775325916708,174.357666015625,236.91250610351562,1.0,188.70977783203125,238.74964904785156,1.0,129.4158172607422,254.55117797851562,1.0,113.4058609008789,272.65045166015625,1.0,160.77139282226562,274.1783142089844,1.0
4,146.66163635253906,218.81869506835938,1.0,133.6288604736328,238.1842498779297,1.0,129.51773071289062,237.2777099609375,0.0009119914029724896,126.67445373535156,239.6334228515625,0.0005170945078134537,174.0267333984375,236.8977813720703,1.0,188.2325439453125,238.9884796142578,1.0,128.98780822753906,254.08889770507812,1.0,113.45291137695312,272.5966796875,0.9999998807907104,160.39891052246094,274.16656494140625,1.0
5,146.48992919921875,218.9754180908203,1.0,133.7787322998047,238.26254272460938,1.0,126.35000610351562,238.949462890625,0.0007497178739868104,126.70870208740234,239.7491912841797,0.00046238090726546943,174.08358764648438,236.8018035888672,1.0,188.66033935546875,238.5826416015625,1.0,128.99029541015625,254.0907440185547,1.0,113.56932067871094,272.67205810546875,0.9999998807907104,160.5624542236328,274.2114562988281,1.0
6,146.37774658203125,218.98692321777344,1.0,133.67112731933594,238.29263305664062,1.0,129.46217346191406,237.53765869140625,0.0009020880679599941,126.59683227539062,239.79078674316406,0.0005321679054759443,174.01710510253906,236.75413513183594,1.0,188.60020446777344,238.64683532714844,1.0,128.9370574951172,254.0834503173828,1.0,113.54781341552734,272.774169921875,0.9999998807907104,160.42115783691406,274.1036376953125,1.0
7,146.20477294921875,218.72816467285156,1.0,133.38279724121094,238.14158630371094,1.0,129.4757843017578,237.45535278320312,0.0008947050664573908,126.48580169677734,239.81727600097656,0.0005003733094781637,174.0803680419922,236.7108612060547,1.0,188.712158203125,238.75376892089844,1.0,128.66448974609375,254.2653045654297,1.0,113.38792419433594,272.97174072265625,0.9999997615814209,160.253173828125,274.2669982910156,1.0
8,145.8645782470703,219.0154571533203,1.0,133.2220916748047,238.46112060546875,1.0,129.42572021484375,237.7272186279297,0.0010200556134805083,126.45787811279297,240.10205078125,0.0005788838025182486,173.87535095214844,236.59579467773438,1.0,188.18260192871094,238.8992919921875,1.0,128.82725524902344,254.60174560546875,1.0,113.05461120605469,273.0426330566406,0.9999998807907104,160.26841735839844,274.0968322753906,1.0
9,145.71888732910156,218.79043579101562,1.0,133.11355590820312,238.31515502929688,1.0,129.31805419921875,237.64683532714844,0.0011433417676016688,126.34797668457031,240.05154418945312,0.0005922731943428516,173.9711456298828,236.4727783203125,1.0,188.30072021484375,238.71554565429688,1.0,128.62924194335938,254.47952270507812,1.0,113.16638946533203,273.0711669921875,0.9999998807907104,160.16453552246094,274.1971740722656,1.0
