scorer,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000,DLC_resnet50_facial_directionDec27shuffle1_500000
bodyparts,Amount,Amount,Amount,Nose,Nose,Nose,Right eye,Right eye,Right eye,Right corner of eye,Right corner of eye,Right corner of eye,Left eye,Left eye,Left eye,Left corner of eye,Left corner of eye,Left corner of eye,Mouth,Mouth,Mouth,Right corner of mouth,Right corner of mouth,Right corner of mouth,Left corner of mouth,Left corner of mouth,Left corner of mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,189.86154174804688,203.30357360839844,1.0,186.40390014648438,223.9232177734375,1.0,158.71835327148438,217.9196319580078,1.0,144.57489013671875,218.1290283203125,1.0,210.90040588378906,229.19931030273438,1.0,224.0858612060547,235.6886749267578,1.0,182.8343963623047,241.7216339111328,1.0,145.3847198486328,257.280517578125,1.0,206.42674255371094,269.6233825683594,1.0
1,191.83837890625,203.78445434570312,1.0,189.24412536621094,224.01104736328125,1.0,160.0378875732422,217.95993041992188,1.0,145.1027374267578,217.50344848632812,1.0,212.7875213623047,229.69139099121094,1.0,224.92762756347656,236.04110717773438,1.0,184.9644012451172,241.635009765625,1.0,146.2913055419922,256.269287109375,1.0,208.72003173828125,269.59320068359375,1.0
2,192.94174194335938,203.9034881591797,1.0,190.10226440429688,224.1851806640625,1.0,161.2916717529297,218.1724395751953,1.0,146.54981994628906,217.55238342285156,1.0,213.1159210205078,229.6382293701172,1.0,226.18582153320312,236.05908203125,1.0,185.84197998046875,241.51455688476562,1.0,147.55259704589844,256.4410400390625,1.0,209.24005126953125,269.87469482421875,1.0
3,193.5278778076172,203.98904418945312,1.0,190.67855834960938,224.2106475830078,1.0,161.4673614501953,218.0271759033203,1.0,147.2095489501953,217.9191436767578,1.0,213.39462280273438,229.57498168945312,1.0,226.4639892578125,236.09805297851562,1.0,186.3965606689453,241.5436553955078,1.0,148.1958465576172,256.1007080078125,1.0,209.61135864257812,270.08251953125,1.0
4,193.63209533691406,204.0665740966797,1.0,190.77061462402344,224.17926025390625,1.0,161.48513793945312,218.0709991455078,1.0,147.34315490722656,217.84840393066406,1.0,213.44044494628906,229.54049682617188,1.0,226.48294067382812,235.7992401123047,1.0,186.60166931152344,241.44497680664062,1.0,148.53807067871094,256.302734375,1.0,209.86322021484375,270.1202392578125,1.0
5,194.12734985351562,204.09738159179688,1.0,191.00320434570312,224.41651916503906,1.0,161.7865447998047,217.921630859375,1.0,147.5419464111328,217.74105834960938,1.0,213.76568603515625,229.51666259765625,1.0,226.54153442382812,235.91285705566406,1.0,185.86329650878906,241.19419860839844,1.0,148.5668182373047,256.55072021484375,1.0,210.35667419433594,270.2658996582031,1.0
6,195.53114318847656,204.0977325439453,1.0,192.37013244628906,224.69638061523438,1.0,163.11204528808594,217.77432250976562,1.0,148.58309936523438,216.9805145263672,1.0,215.22100830078125,229.68222045898438,1.0,228.06094360351562,235.5641632080078,1.0,187.72398376464844,240.93772888183594,1.0,150.223876953125,256.3352355957031,1.0,212.12643432617188,269.52252197265625,1.0
7,196.05117797851562,203.7964324951172,1.0,193.3828582763672,224.1140899658203,1.0,164.2475128173828,217.54100036621094,1.0,148.86996459960938,216.63523864746094,1.0,216.38145446777344,230.11158752441406,1.0,228.8712615966797,235.81663513183594,1.0,189.42518615722656,240.51455688476562,1.0,150.4677276611328,256.1116638183594,1.0,212.50091552734375,269.69378662109375,1.0
8,196.50454711914062,204.0402069091797,1.0,193.494384765625,224.02517700195312,1.0,165.00613403320312,217.4366455078125,1.0,149.76583862304688,216.5153350830078,1.0,216.35122680664062,229.9587860107422,1.0,228.69749450683594,235.84127807617188,1.0,189.92601013183594,240.60598754882812,1.0,151.12493896484375,255.85716247558594,1.0,212.56649780273438,269.8082580566406,1.0
9,196.49371337890625,203.95489501953125,1.0,193.57473754882812,224.10801696777344,1.0,164.9411163330078,217.35340881347656,1.0,149.87725830078125,216.20469665527344,1.0,216.39794921875,229.95989990234375,1.0,228.772705078125,235.9683074951172,1.0,190.1398468017578,240.71002197265625,1.0,151.16139221191406,255.81747436523438,1.0,212.564453125,269.9436340332031,1.0
10,196.66819763183594,204.01922607421875,1.0,193.8935089111328,224.25112915039062,1.0,165.18507385253906,217.3655548095703,1.0,150.05844116210938,216.21153259277344,1.0,216.64390563964844,230.10751342773438,1.0,229.08364868164062,236.1389617919922,1.0,190.41485595703125,240.7487335205078,1.0,151.6738739013672,255.56509399414062,1.0,212.55905151367188,269.98944091796875,1.0
