1000, 0.03717, 0.005
2000, 0.02084, 0.005
3000, 0.01699, 0.005
4000, 0.01499, 0.005
5000, 0.01308, 0.005
6000, 0.01237, 0.005
7000, 0.01158, 0.005
8000, 0.01089, 0.005
9000, 0.01055, 0.005
10000, 0.01042, 0.005
11000, 0.01291, 0.02
12000, 0.01154, 0.02
13000, 0.00998, 0.02
14000, 0.00967, 0.02
15000, 0.00903, 0.02
16000, 0.00871, 0.02
17000, 0.00849, 0.02
18000, 0.00833, 0.02
19000, 0.00817, 0.02
20000, 0.00784, 0.02
21000, 0.00759, 0.02
22000, 0.00730, 0.02
23000, 0.00728, 0.02
24000, 0.00725, 0.02
25000, 0.00693, 0.02
26000, 0.00689, 0.02
27000, 0.00689, 0.02
28000, 0.00682, 0.02
29000, 0.00651, 0.02
30000, 0.00650, 0.02
31000, 0.00629, 0.02
32000, 0.00629, 0.02
33000, 0.00623, 0.02
34000, 0.00612, 0.02
35000, 0.00598, 0.02
36000, 0.00580, 0.02
37000, 0.00596, 0.02
38000, 0.00579, 0.02
39000, 0.00571, 0.02
40000, 0.00571, 0.02
41000, 0.00553, 0.02
42000, 0.00534, 0.02
43000, 0.00536, 0.02
44000, 0.00525, 0.02
45000, 0.00529, 0.02
46000, 0.00517, 0.02
47000, 0.00511, 0.02
48000, 0.00512, 0.02
49000, 0.00499, 0.02
50000, 0.00489, 0.02
51000, 0.00493, 0.02
52000, 0.00478, 0.02
53000, 0.00481, 0.02
54000, 0.00459, 0.02
55000, 0.00464, 0.02
56000, 0.00458, 0.02
57000, 0.00472, 0.02
58000, 0.00454, 0.02
59000, 0.00448, 0.02
60000, 0.00452, 0.02
61000, 0.00450, 0.02
62000, 0.00450, 0.02
63000, 0.00434, 0.02
64000, 0.00440, 0.02
65000, 0.00443, 0.02
66000, 0.00430, 0.02
67000, 0.00424, 0.02
68000, 0.00416, 0.02
69000, 0.00410, 0.02
70000, 0.00415, 0.02
71000, 0.00422, 0.02
72000, 0.00421, 0.02
73000, 0.00414, 0.02
74000, 0.00403, 0.02
75000, 0.00400, 0.02
76000, 0.00412, 0.02
77000, 0.00398, 0.02
78000, 0.00449, 0.02
79000, 0.00422, 0.02
80000, 0.00400, 0.02
81000, 0.00401, 0.02
82000, 0.00405, 0.02
83000, 0.00394, 0.02
84000, 0.00398, 0.02
85000, 0.00398, 0.02
86000, 0.00389, 0.02
87000, 0.00383, 0.02
88000, 0.00381, 0.02
89000, 0.00379, 0.02
90000, 0.00376, 0.02
91000, 0.00394, 0.02
92000, 0.00390, 0.02
93000, 0.00385, 0.02
94000, 0.00374, 0.02
95000, 0.00372, 0.02
96000, 0.00365, 0.02
97000, 0.00363, 0.02
98000, 0.00367, 0.02
99000, 0.00371, 0.02
100000, 0.00356, 0.02
101000, 0.00359, 0.02
102000, 0.00371, 0.02
